Variation,d,mag(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(GainTotal): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(S(1 1)): Freq(2.4GHz),mag(PolarizationRatioCircularLHCP): Theta(-180deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,mag(PolarizationRatioCircularLHCP): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1
31,16mm,689.874831383612,56.775406018497,-0.840248454728291,-16.5378486295972,1.00656681644549,1.00290328505105
29,15.8mm,625.722084235444,55.9276296647521,-0.932967691487356,-16.5262493557216,1.05823537818789,0.996808792844056
28,15.7mm,100.642951440279,40.0556672868712,-0.930622546468486,-16.4009766669802,1.05540826383993,0.980323278971537
30,15.9mm,93.3412237005452,39.4014698034727,-0.758125109993879,-16.5853629399505,0.93213599524852,1.02165879896162
27,15.6mm,46.8677218052733,33.4174768679527,-0.900282837226016,-16.4780053419951,1.07086219793712,0.958218191203332
26,15.5mm,39.0046654660894,31.8223311482193,-0.615517565399827,-16.0135535725427,1.07117769455104,0.950005831152485
24,15.3mm,29.4482681112563,29.3811951696667,-0.863202921098008,-15.8900180907587,1.07107502780071,0.934314819066486
25,15.4mm,28.0354936518628,28.9541641520771,-0.593574317221652,-15.8139900835167,1.06997866257577,0.931118787785043
23,15.2mm,22.3133983496246,26.9713143748337,-1.05060671886083,-15.3141622398741,1.06309573367869,0.914212421114822
22,15.1mm,20.4599375400605,26.2180860713464,-0.96461219372226,-15.6690430738874,1.19216214726973,0.906803083826946
21,15mm,15.2853385487666,23.6855012436209,-1.04791942179164,-14.4189932063689,1.06698342085756,0.877190149040441
19,14.8mm,13.7793268750746,22.7845600530563,-0.897985548756168,-15.0034345798363,1.06621618213546,0.864675839643752
18,14.7mm,13.7226744865053,22.7487752325705,-1.10116812130429,-15.9109575188808,1.11254876236713,0.864155116529053
20,14.9mm,13.174182032644,22.3944731991536,-0.88040355101101,-15.2942672359087,1.0086107668413,0.858898383314545
17,14.6mm,11.7829526590542,21.425082655972,-0.868018511421122,-16.0196539428715,1.0776833342757,0.843541625057699
16,14.5mm,10.9591573206953,20.7955432270511,-0.859388823880247,-17.4842736326636,1.11608245196823,0.832764136605261
15,14.4mm,10.5353608824756,20.4529883339244,-0.882317541930167,-18.1414777202294,1.16722643560443,0.826620075403242
11,14mm,10.2849006488239,20.2440020161404,-0.820514226235656,-16.6450422738347,1.37342767670276,0.822772032981217
14,14.3mm,10.146220540717,20.126085960289,-0.886012007149171,-19.1975201117398,1.02707618314083,0.820566981184875
10,13.9mm,9.89311948281548,19.9066650848416,-1.10431358167385,-14.4886572956076,1.16165477972448,0.816397864435884
13,14.2mm,9.63354816084232,19.6757254576819,-0.927234680162255,-18.8347475281495,1.05858382532236,0.811916025606116
8,13.7mm,9.41111880190219,19.4728251159624,-0.952565358442562,-10.6544142258219,1.41056445331975,0.807897687265408
9,13.8mm,9.0389888381625,19.1223970020557,-1.12057475952127,-12.1287792471452,1.23309473112964,0.800776748311828
3,13.2mm,8.93211666389649,19.0190877366123,-1.22357300705423,-8.23418027740494,1.43253723415354,0.798633053992403
12,14.1mm,8.89712531712395,18.9849941540699,-1.01780843547474,-16.6760189104968,1.06267065005192,0.797921119929682
5,13.4mm,8.88184142420906,18.9700603008564,-1.23465993742732,-10.0482222355773,1.36650996133461,0.797608571708073
1,13mm,8.80480487915663,18.8943947226031,-0.952386487148251,-5.31571929220999,1.33108165432829,0.796018378269652
2,13.1mm,8.60780303689005,18.6978464188384,-1.27118555225518,-7.56608078104596,1.4121163042129,0.791835865876849
6,13.5mm,8.28627019922912,18.3671818139088,-0.822333934174206,-10.6522311440299,1.07080691392827,0.784628278405465
4,13.3mm,8.25542208698436,18.3347856594552,-1.18320132802142,-8.15382668073878,1.10784047141271,0.783910449334067
7,13.6mm,8.05194570811519,18.1180167581488,-0.88084902311338,-10.5147116976829,1.36412161064292,0.779053027438402
