Variation,d,radius,mag(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(GainTotal): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(S(1 1)): Freq(2.4GHz),mag(PolarizationRatioCircularLHCP): Theta(-180deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,mag(PolarizationRatioCircularLHCP): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1
1,13.5mm,15.5mm,43.8984037162861,32.848974564381,-1.66944301642388,-3.84447727041477,1.26499147723843,0.955454986492659
2,13.5mm,15.6mm,46.9913880541301,33.4403654722173,-1.58893562434705,-4.74293281814785,1.25076008613039,0.958325856344389
3,13.5mm,15.7mm,50.8690827245016,34.1290781293603,-1.50496792257801,-5.40875580727879,1.23885402044295,0.961441384829903
4,13.5mm,15.8mm,38.6685580107647,31.7471595419814,-1.30637905077347,-6.68384479214904,1.26438745618665,0.949582235899342
5,13.5mm,15.9mm,22.4834827077342,27.0372716927445,-1.41766126824351,-9.16049149402239,1.20604969550575,0.914833756777426
6,13.5mm,16mm,20.1073105367614,26.0670797041727,-1.59166318469267,-12.8139359148552,1.3270313013219,0.905246099614789
7,13.5mm,16.1mm,16.4955340102608,24.3473275906622,-1.09676280009299,-18.2018714025686,1.3041897384398,0.885685112622053
8,13.5mm,16.2mm,17.9914273712687,25.1013123996233,-1.3001756176529,-13.8207149721363,1.30992885177895,0.894689326878836
9,13.5mm,16.3mm,13.0701004458979,22.3255785043753,-1.33861042750089,-10.7882340328139,1.36879004558233,0.857854603974551
10,13.5mm,16.4mm,11.9110751889732,21.519019322959,-1.29416919909462,-7.1022923504162,1.1635552981648,0.845094233382816
11,13.5mm,16.5mm,11.6879746537154,21.3547852225161,-1.27313362371369,-4.71352293576431,1.40295297190741,0.842370429120117
12,13.5mm,16.6mm,9.5740696823281,19.6219316810938,-1.29798668207343,-3.11410683119756,1.28276619686519,0.810858065051104
