d,radius,mag(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(GainTotal): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(S(1 1)): Freq(2.4GHz),mag(PolarizationRatioCircularLHCP): Theta(-180deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,mag(PolarizationRatioCircularLHCP): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1
14.7,16.9,3.674716512,11.30447682,-0.642576884,-1.43128297,1.973612472,0.57216657
14.3,16.3,3.684381595,11.32729208,-0.707067297,-1.373473383,2.798431984,0.5730493
14.8,17,4.601581362,13.25814211,-0.903379857,-1.731623296,1.612964247,0.642957967
14.5,17,5.107180046,14.16362337,-0.685603534,-1.536404948,1.544576729,0.672516614
14.6,17,5.213503806,14.3425939,-0.915601946,-1.730661151,1.467920381,0.678120419
15,17,5.220251149,14.35382795,-0.982398114,-2.437139205,2.154089177,0.678469574
14.7,17,5.261137513,14.42159307,-0.888239613,-1.832224928,2.124941808,0.680569226
14.9,17,5.307361835,14.49757394,-1.006344352,-2.129729992,1.873691191,0.682910216
14.4,17,5.437023383,14.70722401,-0.925742184,-1.422812371,1.632361476,0.689297385
14.8,16.9,5.569327578,14.91605526,-0.52796751,-2.641762497,1.451572275,0.695554838
14.4,16.9,5.788547823,15.25139251,-1.049747895,-1.36663317,2.078006389,0.705386181
14.9,16.9,5.798307048,15.26602419,-1.066152128,-3.07329607,1.281345978,0.70580911
13.5,16.8,5.899773026,15.41670608,-1.164060573,-0.872117291,1.157082973,0.710135392
14.3,17,5.92588766,15.45506828,-1.115066101,-1.502596764,1.357974676,0.711228351
14.6,16.9,6.137244852,15.75946901,-1.00399165,-2.077978494,1.430887473,0.719779825
14.2,17,6.182172648,15.82282259,-1.090639351,-1.381979673,1.934398067,0.721532731
13.8,16.9,6.215925615,15.87011617,-0.930615287,-1.10747631,1.388222369,0.72283528
13.9,17,6.279734048,15.95882503,-0.994423155,-1.165002266,1.616772887,0.725264689
15,16.9,6.377263159,16.09268677,-0.721751927,-3.281496624,1.625153083,0.728896752
14,17,6.412166153,16.14009535,-0.82438791,-1.097242221,1.726390309,0.730173345
13.6,17,6.477016384,16.22749991,-1.351270447,-0.984057712,1.376649383,0.732513626
13.7,17,6.498099606,16.25572728,-1.146310575,-1.077663847,1.597024824,0.733265747
13.5,16.9,6.515695813,16.27921602,-1.040544865,-0.765435412,1.42131172,0.733890241
14.4,16.8,6.584320407,16.37021913,-1.152417654,-2.078809269,1.848413557,0.736298061
14.6,16.8,6.660365115,16.46996075,-0.933109465,-3.442986399,1.394987806,0.738915839
14,16.9,6.687809585,16.50567799,-0.999787008,-1.492843764,1.568374273,0.739847875
14.1,17,6.717050159,16.54357183,-1.19233388,-1.270337574,1.974652916,0.740833614
14.5,16.8,6.756234907,16.59409482,-1.085832358,-2.690959654,1.275310141,0.742142931
14.7,16.8,6.855551053,16.72084739,-0.795533277,-3.667645164,1.203782656,0.745402966
14.5,16.9,6.864191147,16.73178738,-0.78114737,-2.075686432,1.670337391,0.745682682
14.2,16.9,6.911204737,16.79107517,-1.045803368,-1.673460643,1.574929605,0.747194003
14.1,16.8,6.92317529,16.80610656,-1.022902228,-2.253353277,1.342101832,0.747575949
14.3,16.9,6.962002177,16.85468309,-1.097450755,-1.890942607,1.780960763,0.748806901
13.9,16.9,7.032127341,16.94173453,-1.162368712,-1.561989119,1.730518726,0.750999964
13.5,17,7.087969072,17.01043628,-1.206021405,-0.97028619,1.261235053,0.752719134
13.7,16.9,7.130027465,17.06182406,-1.305667068,-1.286390725,1.12940223,0.753998371
13.8,17,7.155962532,17.09336116,-0.994391172,-1.090068112,1.51853735,0.754780629
14.9,16.8,7.211106163,17.16003779,-0.780983387,-4.229195834,1.431494504,0.756427458
14.8,16.8,7.214327845,17.16391749,-1.01622874,-4.105733428,1.420499811,0.756522988
14.6,16.7,7.231896565,17.18504412,-1.103939987,-4.103924194,1.582649299,0.757042623
15,16.8,7.232522632,17.18579603,-0.861562786,-4.707443463,1.331702321,0.757061099
14.4,16.7,7.296522463,17.26231848,-1.051856017,-4.160863141,1.500267342,0.758935143
14.1,16.9,7.313277795,17.28224141,-0.910891536,-1.487221424,1.463780372,0.759421007
14.2,16.8,7.529644642,17.53548961,-0.93996682,-2.559650977,1.440394665,0.765523643
13.8,16.8,7.555146205,17.56485746,-1.105667527,-2.142961868,1.087064994,0.766222581
14.3,16.8,7.672230651,17.69843301,-1.072617973,-2.411109919,1.288213698,0.769378828
13.6,16.9,8.05055572,18.1165172,-1.005384952,-1.376116603,1.572071094,0.779019094
14,16.8,8.075993394,18.1439191,-1.099049327,-2.204399649,1.338130285,0.779638447
13.9,16.8,8.224742272,18.30244596,-1.084581002,-2.253411338,1.094308942,0.783191775
14,16.6,8.308514058,18.39046718,-1.032137641,-3.853306924,1.17632464,0.785142936
14.7,16.7,8.471677612,18.55938841,-1.052552844,-5.124926862,1.359018074,0.788844164
14.5,16.7,8.477723162,18.56558461,-1.058969921,-4.603913251,1.382633279,0.788978854
14,16.7,8.489909895,18.57806162,-1.098207404,-3.247395841,1.683596801,0.789249843
13.7,16.8,8.635365731,18.72561472,-1.144543089,-1.860214514,1.704258027,0.792431335
14.3,16.7,8.679506992,18.76990115,-0.972369585,-4.147752931,1.517276609,0.793377906
14.8,16.7,8.716311163,18.80665451,-1.04597282,-5.509644122,1.290219544,0.794160565
14.2,16.7,8.766597848,18.85662169,-1.128671882,-3.599518728,1.750500138,0.7952204
13.9,16.6,8.797437634,18.88712393,-1.237098253,-3.777094616,1.313636993,0.795864993
13.6,16.8,8.925228642,19.01238701,-1.171547806,-1.311649161,1.338161005,0.798493307
13.7,16.7,8.943149585,19.0298099,-0.921281709,-2.688838095,1.353909922,0.798856491
13.6,16.7,9.000201479,19.08504463,-1.192422112,-2.376901622,1.564486652,0.80000403
14.1,16.7,9.021814907,19.10587826,-1.019677668,-3.272331492,1.357435796,0.800435348
14.9,16.7,9.085199001,19.16668889,-0.865971021,-6.203328644,1.406353446,0.801689585
14.4,16.6,9.179493426,19.2563743,-0.997612908,-5.999632574,1.304921172,0.803526569
13.8,16.7,9.284262208,19.35494795,-1.043273246,-2.728381243,1.273907786,0.805528101
14.3,16.6,9.543163467,19.59384726,-1.16870915,-5.733117289,1.272878944,0.810303615
13.5,16.6,9.574069682,19.62193168,-1.297986682,-3.114106831,1.282766197,0.810858065
13.9,16.7,9.644764899,19.68583291,-1.261070476,-2.799463738,1.780779291,0.812114216
13.8,16.6,9.695932548,19.73179171,-1.205900175,-4.192575456,1.418056805,0.813013032
13.7,16.6,9.756501731,19.78588252,-1.298526934,-3.946321372,1.238143013,0.814065944
14,16.5,9.818427475,19.84083873,-1.32189024,-6.935450647,1.342561405,0.815130248
14.6,16.6,9.834039057,19.85463858,-0.867969409,-7.644078687,1.073448922,0.815396641
14.1,16.6,10.02688371,20.02331956,-0.996152633,-5.118931583,1.347350633,0.818625094
13.6,16.6,10.33697861,20.28787235,-1.051904666,-3.295814694,1.166560906,0.823586154
14.8,16.6,10.36218931,20.30903045,-0.993796622,-8.101762116,1.265467354,0.823977585
14.7,16.6,10.3682024,20.31406933,-0.955253508,-8.094835479,1.130809746,0.82407069
14.1,16.5,10.56879986,20.48051348,-1.050230543,-6.754278824,1.457699752,0.827121221
13.5,16.7,10.65146985,20.54819085,-1.162875385,-2.172212643,1.962606283,0.828347837
14.3,16.5,10.87204351,20.72622364,-1.062704011,-8.181562249,1.273623542,0.831537006
14.2,16.6,11.02675557,20.84895495,-1.092890985,-5.015458494,1.523226937,0.833704112
14.5,16.6,11.15767028,20.95147047,-1.198526434,-6.712229346,1.48208003,0.835494798
14.2,16.4,11.16275342,20.95542663,-1.193570763,-11.09890021,1.259784054,0.83556355
13.6,16.5,11.32946443,21.08418761,-1.110812398,-4.825414287,1.44310894,0.837786952
13.5,16.5,11.68797465,21.35478522,-1.273133624,-4.713522936,1.402952972,0.842370429
14.8,16.5,11.74985455,21.40064981,-1.000632328,-13.45148329,1.115489135,0.843135465
14.4,16.5,11.79038908,21.43056274,-1.111824603,-9.441197214,1.346859379,0.843632591
13.9,16.5,11.81311811,21.44729092,-1.13227106,-5.765581189,1.422974574,0.843909969
13.8,16.5,11.86121719,21.48258516,-1.230019023,-5.225117239,1.456544377,0.844493723
14.1,16.4,11.86878541,21.48812555,-1.360634134,-11.84217323,1.19829241,0.844585177
13.5,16.4,11.91107519,21.51901932,-1.294169199,-7.10229235,1.163555298,0.845094233
15,16.7,12.0040944,21.58658804,-1.078215625,-7.275311253,1.53586789,0.846202285
14.6,16.5,12.22980714,21.74839217,-1.034974865,-10.95344032,1.329389167,0.848826217
15,16.6,12.32631699,21.81666664,-0.923957138,-9.47579793,1.400360986,0.849921025
13.7,16.5,12.33030851,21.81947886,-1.301537599,-5.356414405,1.421245879,0.849965963
14.9,16.6,12.33497517,21.82276559,-1.018066514,-9.744285007,1.344062418,0.850018468
13.6,16.3,12.63993289,22.03489537,-1.291463882,-9.76890648,1.217248408,0.853371713
13.5,16.3,13.07010045,22.3255785,-1.338610428,-10.78823403,1.368790046,0.857854604
14.2,16.3,13.22901671,22.4305513,-1.321152771,-18.61197916,1.329864094,0.85944215
14.7,16.5,13.3629585,22.51805239,-1.205563734,-11.60817667,1.361019308,0.860752922
14.2,16.5,13.36424414,22.51888802,-1.210223105,-8.951214854,1.64343038,0.860765385
13.9,16.4,13.37020677,22.52276248,-1.211414109,-9.516706334,1.479193754,0.860823158
14.5,16.5,13.5108002,22.61362143,-0.897962028,-10.5132486,1.213050986,0.862171626
13.8,16.2,13.58364186,22.66032445,-1.249682221,-19.42766226,1.17205471,0.862860044
13.7,16.4,13.62627861,22.68754529,-1.153427973,-7.001255977,1.471062078,0.863259818
13.8,16.4,13.90608597,22.8640982,-1.242934664,-8.347274807,1.628983434,0.865826616
14.3,16.4,13.93253341,22.88060186,-1.112526212,-13.75449809,1.397243214,0.866064254
14.1,16.3,14.04530653,22.95062444,-1.221068855,-19.84789643,1.205117979,0.867068179
14.5,16.4,14.14597243,23.01265614,-1.221975697,-15.8917772,1.234394322,0.867951694
14.4,16.4,14.24752779,23.07479026,-1.056478221,-14.87238437,1.329800408,0.868831195
14.8,16.4,14.42340747,23.18135745,-0.91039187,-17.56517769,1.102656329,0.870326969
14,16.4,14.5033829,23.22938626,-1.053320885,-10.07473129,1.309926258,0.870995897
13.7,16.1,14.54168664,23.25229563,-1.267154118,-16.45592516,1.014833242,0.871313838
13.7,16.3,14.63110744,23.30554399,-1.236723702,-12.99385128,1.291601506,0.872050013
14.9,16.5,14.75366681,23.37799943,-1.119941803,-14.74859511,1.428779858,0.87304543
13.6,16.4,14.8275637,23.42139597,-1.305236452,-8.237859135,1.350839186,0.873638165
14.6,16.3,15.10995283,23.58526217,-1.006032757,-18.14396546,1.137611706,0.875853144
14.5,16.3,15.41743144,23.76024052,-0.921086736,-18.32539502,0.964377661,0.878178264
14,16.3,15.41887276,23.76105249,-0.97915913,-15.76254312,1.419553035,0.878188958
14.7,16.4,15.49600216,23.80439336,-1.081559674,-17.44956818,1.166894818,0.878758503
15,16.5,15.53100502,23.8239912,-1.020550651,-14.16754964,1.190852347,0.87901522
13.6,16.2,15.84222579,23.99632397,-1.242004495,-14.97574113,1.409374276,0.88125085
13.7,16.2,16.12645161,24.15077635,-1.096152127,-18.76027291,1.317403936,0.883221578
14.1,16.2,16.31722599,24.25292657,-1.065850179,-16.72005724,1.245454488,0.884508061
13.9,16.3,16.43924105,24.31763527,-1.443846532,-16.26377877,1.516611499,0.88531611
13.5,16.1,16.49553401,24.34732759,-1.0967628,-18.2018714,1.304189738,0.885685113
14.6,16.4,16.9045527,24.56007367,-1.096201432,-16.6714834,1.222723418,0.888296567
13.6,16.1,16.99487034,24.60635711,-1.27519118,-16.85304903,1.278907582,0.888857215
13.8,16.1,17.34664094,24.78430778,-1.155235124,-13.51288389,1.217083854,0.890988219
13.9,16,17.48252981,24.85208555,-1.191505507,-9.445716608,1.005252339,0.891789705
15,16.4,17.58127556,24.90100762,-1.264170155,-18.38751101,1.196077012,0.892364763
13.5,16.2,17.99142737,25.1013124,-1.300175618,-13.82071497,1.309928852,0.894689327
14.3,16.2,18.02569034,25.11783812,-1.012996155,-14.39666604,1.230755911,0.894878979
13.8,16.3,18.11599234,25.16124257,-1.182229167,-11.75560873,1.286198591,0.89537556
14.4,16.3,18.47683473,25.33255148,-0.798405079,-19.20868316,1.083362028,0.89731391
14,16.2,18.73141179,25.45141023,-1.252611992,-17.5311603,1.380463604,0.898638779
13.9,16.2,18.8508607,25.50662369,-1.085408418,-18.87040914,1.221961747,0.899248701
13.5,16,20.10731054,26.0670797,-1.591663185,-12.81393591,1.327031301,0.9052461
13.8,16,20.48224352,26.22755051,-1.394752964,-10.56618241,1.284940853,0.906899854
14.6,16.1,20.51874025,26.24301388,-1.106307439,-8.951024228,1.117591093,0.907057756
14.5,16.2,20.56446229,26.26234717,-1.185683128,-12.62565205,1.045666037,0.907254817
14.8,16.3,20.59321159,26.27448164,-0.97857428,-15.62636849,1.071796052,0.907378298
14.7,16.3,20.80532606,26.36349053,-0.935179191,-16.33232229,1.14203379,0.908279289
